zipcode,zipcode_type,major_city,post_office_city,common_city_list,county,state,lat,lng,timezone,radius_in_miles,area_code_list,population,population_density,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income,bounds_west,bounds_east,bounds_north,bounds_south,area_code_list1,area_code_list2,common_city_list1,area_code_list3,area_code_list4,area_code_list5,common_city_list2,common_city_list3,area_code_list6,area_code_list7,area_code_list8,common_city_list4
60628,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.69,-87.62,Central,3.0,773,72202.0,6612.0,10.92,0.07,28651.0,24491.0,132100.0,37472.0,-87.644347,-87.584689,41.729042,41.655334,872,,,,,,,,,,,
02108,Standard,Boston,"Boston, MA",Boston,Suffolk County,MA,42.358,-71.064,Eastern,0.6818181818181818,617,3825.0,27919.0,0.14,0.0,2278.0,1875.0,724500.0,96921.0,-71.075219,-71.056485,42.361928,42.35531,857,339,,,,,,,,,,
46320,Standard,Hammond,"Hammond, IN",Hammond,Lake County,IN,41.61,-87.49,Central,2.0,219,15508.0,2318.0,6.69,1.77,6569.0,5780.0,76200.0,26763.0,-87.525244,-87.461437,41.721851,41.591692,,,,,,,,,,,,
02141,Standard,Cambridge,"Cambridge, MA",Cambridge,Middlesex County,MA,42.37,-71.08,Eastern,1.0,339,11910.0,18612.0,0.64,0.01,6596.0,5933.0,416800.0,64326.0,-71.096875,-71.064095,42.374292,42.362608,617,508,E Cambridge,781,857,978,East Cambridge,,,,,
02138,Standard,Cambridge,"Cambridge, MA",Cambridge,Middlesex County,MA,42.38,-71.13,Eastern,2.0,508,36314.0,13251.0,2.74,0.32,14949.0,13959.0,669500.0,75446.0,-71.160488,-71.105427,42.395886,42.364229,617,857,,,,,,,,,,
60707,Standard,Elmwood Park,"Elmwood Park, IL",Elmwood Park,Cook County,IL,41.92,-87.81,Central,2.0,773,42920.0,11896.0,3.61,0.0,16901.0,15798.0,231200.0,55554.0,-87.826254,-87.785002,41.937992,41.908545,,,Chicago,,,,,,,,,
60629,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.78,-87.7,Central,2.0,312,113916.0,16726.0,6.81,0.06,34000.0,30114.0,159700.0,40650.0,-87.746807,-87.683444,41.793804,41.756738,773,872,Bedford Park,,,,,,,,,
60607,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.87,-87.65,Central,1.0,312,23897.0,10299.0,2.32,0.0,13356.0,11497.0,340000.0,80261.0,-87.669522,-87.631552,41.889049,41.859911,773,,,,,,,,,,,
60619,Standard,Chicago,"Chicago, IL",Chicago,Cook County,IL,41.74,-87.61,Central,2.0,312,63825.0,10601.0,6.02,0.0,31893.0,26722.0,152700.0,34977.0,-87.624907,-87.585144,41.767599,41.716196,773,872,,,,,,,,,,
02132,Standard,West Roxbury,"West Roxbury, MA",West Roxbury,Suffolk County,MA,42.28,-71.16,Eastern,2.0,617,25861.0,5670.0,4.56,0.1,11341.0,10891.0,393100.0,83360.0,-71.191155,-71.127925,42.30175,42.255155,781,,Boston,,,,,,,,,
02121,Standard,Dorchester,"Dorchester, MA",Dorchester,Suffolk County,MA,42.31,-71.08,Eastern,1.0,617,25978.0,14884.0,1.75,0.01,10589.0,9661.0,311700.0,28238.0,-71.101932,-71.069471,42.319213,42.291973,781,857,Boston,,,,Grove Hall,,,,,
19149,Standard,Philadelphia,"Philadelphia, PA",Philadelphia,Philadelphia County,PA,40.04,-75.07,Eastern,2.0,215,55006.0,22648.0,2.43,0.0,19984.0,18992.0,129300.0,36906.0,-75.093532,-75.040594,40.05199,40.026583,,,Phila,,,,,,,,,
